pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
Defective CYP26C1 causes Focal facial dermal dysplasia 4 (FFDD4),Reactome,1,ACSS2,73 (80),0.127,1,2,C00020;C00315,126 (151),0.27,1,0.15,0.326
Defective CYP27B1 causes Rickets vitamin D-dependent 1A (VDDR1A),Reactome,1,ACSS2,73 (80),0.127,1,2,C00020;C00315,126 (151),0.27,1,0.15,0.326
Defective TBXAS1 causes Ghosal hematodiaphyseal dysplasia (GHDD),Reactome,1,ACSS2,73 (80),0.127,1,2,C00020;C00315,126 (151),0.27,1,0.15,0.326
Defective CYP2U1 causes Spastic paraplegia 56_ autosomal recessive (SPG56),Reactome,1,ACSS2,73 (80),0.127,1,2,C00020;C00315,126 (151),0.27,1,0.15,0.326
Pentose phosphate pathway,EHMN,0,,29 (29),1,1,2,C00020;C00257,37 (37),0.0352,0.283,0.153,0.332
Glycerophospholipid Biosynthetic Pathway,Wikipathways,0,,0 (0),1,1,1,C00116,6 (9),0.0475,0.336,0.0475,0.336
Translocation of GLUT4 to the Plasma Membrane,Wikipathways,0,,0 (0),1,1,1,C00020,6 (6),0.0475,0.336,0.0475,0.336
Neurotransmitter uptake and Metabolism In Glial Cells,Wikipathways,0,,0 (0),1,1,1,C00025,6 (6),0.0475,0.336,0.0475,0.336
Deadenylation-dependent mRNA decay,Wikipathways,0,,0 (0),1,1,1,C00020,6 (7),0.0475,0.336,0.0475,0.336
Malonyl-coa decarboxylase deficiency,SMPDB,0,,14 (14),1,1,2,C00020;C00025,38 (38),0.037,0.292,0.159,0.339
Malonic Aciduria,SMPDB,0,,14 (14),1,1,2,C00020;C00025,38 (38),0.037,0.292,0.159,0.339
Propanoate Metabolism,SMPDB,0,,14 (14),1,1,2,C00020;C00025,38 (38),0.037,0.292,0.159,0.339
Methylmalonic Aciduria Due to Cobalamin-Related Disorders,SMPDB,0,,14 (14),1,1,2,C00020;C00025,38 (38),0.037,0.292,0.159,0.339
Selenoamino acid metabolism,EHMN,0,,35 (36),1,1,2,C00020;C00041,38 (38),0.037,0.292,0.159,0.339
Pyrimidine catabolism,Reactome,0,,12 (12),1,1,2,C00106;C00041,38 (39),0.037,0.292,0.159,0.339
Pyruvate metabolism and Citric Acid (TCA) cycle,Reactome,0,,44 (47),1,1,2,C00158;C00989,38 (38),0.037,0.292,0.159,0.339
PI3K-Akt signaling pathway - Homo sapiens (human),KEGG,0,,335 (347),1,1,1,C00020,4 (4),0.0319,0.26,0.142,0.325
Valproic Acid Pathway_ Pharmacokinetics,PharmGKB,1,IVD,21 (21),0.0383,1,0,,1 (1),1,1,0.163,0.343
Diseases of glycosylation,Reactome,2,SEC24C;SEC13,226 (230),0.065,1,1,C00025,109 (139),0.591,1,0.164,0.343
Synthesis and interconversion of nucleotide di- and triphosphates,Reactome,0,,19 (19),1,1,2,C00020;C00025,39 (39),0.0388,0.3,0.165,0.343
GABA synthesis,Reactome,0,,2 (2),1,1,1,C00025,5 (5),0.0397,0.3,0.168,0.343
Facilitative Na+-independent glucose transporters,Reactome,0,,11 (12),1,1,1,C00366,5 (5),0.0397,0.3,0.168,0.343
Regulation of AMPK activity via LKB1,Reactome,0,,14 (14),1,1,1,C00020,5 (5),0.0397,0.3,0.168,0.343
Glibenclamide Action Pathway,SMPDB,0,,6 (6),1,1,1,C00031,5 (5),0.0397,0.3,0.168,0.343
Gliclazide Action Pathway,SMPDB,0,,6 (6),1,1,1,C00031,5 (5),0.0397,0.3,0.168,0.343
Repaglinide Action Pathway,SMPDB,0,,6 (6),1,1,1,C00031,5 (5),0.0397,0.3,0.168,0.343
Nateglinide Action Pathway,SMPDB,0,,6 (6),1,1,1,C00031,5 (5),0.0397,0.3,0.168,0.343
mRNA decay by 5_ to 3_ exoribonuclease,Reactome,0,,13 (15),1,1,1,C00020,5 (7),0.0397,0.3,0.168,0.343
hypusine biosynthesis,HumanCyc,0,,2 (2),1,1,1,C00315,5 (5),0.0397,0.3,0.168,0.343
PRPP biosynthesis,HumanCyc,0,,3 (3),1,1,1,C00020,5 (6),0.0397,0.3,0.168,0.343
adenine and adenosine salvage II,HumanCyc,0,,1 (1),1,1,1,C00020,5 (5),0.0397,0.3,0.168,0.343
thiamin salvage III,HumanCyc,0,,1 (1),1,1,1,C00020,5 (5),0.0397,0.3,0.168,0.343
Removal of the Flap Intermediate from the C-strand,Reactome,0,,10 (10),1,1,1,C00020,5 (5),0.0397,0.3,0.168,0.343
Ras activation uopn Ca2+ infux through NMDA receptor,Reactome,0,,18 (19),1,1,1,C00025,5 (5),0.0397,0.3,0.168,0.343
Unblocking of NMDA receptor_ glutamate binding and activation,Reactome,0,,14 (17),1,1,1,C00025,5 (5),0.0397,0.3,0.168,0.343
CREB phosphorylation through the activation of CaMKII,Reactome,0,,16 (17),1,1,1,C00025,5 (5),0.0397,0.3,0.168,0.343
hypoxia-inducible factor in the cardivascular system,BioCarta,0,,15 (16),1,1,1,C00031,5 (5),0.0397,0.3,0.168,0.343
nitric oxide signaling pathway,BioCarta,0,,18 (19),1,1,1,C00327,5 (5),0.0397,0.3,0.168,0.343
Fatty Acid Biosynthesis,Wikipathways,1,ACSS2,22 (22),0.0401,1,0,,4 (4),1,1,0.169,0.344
Glycerophospholipid metabolism,EHMN,0,,137 (141),1,1,3,C00116;C00041;C00346,96 (96),0.0411,0.31,0.172,0.35
Double-Strand Break Repair,Reactome,1,XRCC6,23 (23),0.0419,1,0,,2 (2),1,1,0.175,0.355
Insulin signaling pathway - Homo sapiens (human),KEGG,0,,136 (141),1,1,1,C00031,4 (4),0.0319,0.26,0.142,0.325
GPCR ligand binding,Wikipathways,0,,0 (0),1,1,3,C00077;C00047;C00025,106 (125),0.0526,0.361,0.0526,0.361
Energy dependent regulation of mTOR by LKB1-AMPK,Wikipathways,0,,0 (0),1,1,1,C00020,7 (7),0.0551,0.361,0.0551,0.361
Sphingolipid metabolism,Wikipathways,0,,0 (0),1,1,1,C00836,7 (7),0.0551,0.361,0.0551,0.361
bile acid biosynthesis_ neutral pathway,HumanCyc,0,,15 (15),1,1,2,C00020;C00245,42 (44),0.0444,0.334,0.183,0.369
Aminosugars metabolism,EHMN,0,,50 (51),1,1,2,C00041;C00025,43 (43),0.0464,0.336,0.189,0.372
chondroitin sulfate degradation (metazoa),HumanCyc,0,,6 (7),1,1,3,C00379;C00116;C01835,101 (137),0.0466,0.336,0.19,0.372
D-<i>myo</i>-inositol (1_4_5)-trisphosphate degradation,HumanCyc,0,,13 (13),1,1,1,C03546,6 (6),0.0475,0.336,0.192,0.372
Astrocytic Glutamate-Glutamine Uptake And Metabolism,Reactome,0,,4 (4),1,1,1,C00025,6 (6),0.0475,0.336,0.192,0.372
Neurotransmitter uptake and Metabolism In Glial Cells,Reactome,0,,4 (4),1,1,1,C00025,6 (6),0.0475,0.336,0.192,0.372
&alpha;-tocopherol degradation,HumanCyc,0,,1 (1),1,1,1,C02477,6 (9),0.0475,0.336,0.192,0.372
PDE3B signalling,Reactome,0,,2 (2),1,1,1,C00020,6 (6),0.0475,0.336,0.192,0.372
Regulation of Rheb GTPase activity by AMPK,Reactome,0,,9 (10),1,1,1,C00020,6 (6),0.0475,0.336,0.192,0.372
Protein processing in endoplasmic reticulum - Homo sapiens (human),KEGG,2,SEC24C;SEC13,167 (168),0.0378,1,0,,6 (6),1,1,0.162,0.343
homocarnosine biosynthesis,HumanCyc,0,,1 (1),1,1,1,C00135,6 (7),0.0475,0.336,0.192,0.372
Inhibition of HSL,Reactome,0,,2 (2),1,1,1,C00020,6 (6),0.0475,0.336,0.192,0.372
Deadenylation-dependent mRNA decay,Reactome,0,,55 (58),1,1,1,C00020,6 (9),0.0475,0.336,0.192,0.372
Lagging Strand Synthesis,Reactome,0,,21 (21),1,1,1,C00020,6 (6),0.0475,0.336,0.192,0.372
lipoate salvage,HumanCyc,0,,2 (2),1,1,1,C00020,6 (6),0.0475,0.336,0.192,0.372
VEGFR1 specific signals,PID,0,,29 (31),1,1,1,C00327,6 (6),0.0475,0.336,0.192,0.372
Glycogen Metabolism,Wikipathways,0,,36 (36),1,1,1,C00031,6 (6),0.0475,0.336,0.192,0.372
5-Phosphoribose 1-diphosphate biosynthesis,Reactome,0,,3 (3),1,1,1,C00020,6 (6),0.0475,0.336,0.192,0.372
vegf hypoxia and angiogenesis,BioCarta,0,,27 (31),1,1,1,C00327,6 (6),0.0475,0.336,0.192,0.372
Insulin Signalling,SMPDB,0,,15 (17),1,1,1,C00031,6 (6),0.0475,0.336,0.192,0.372
Translocation of GLUT4 to the plasma membrane,Reactome,0,,34 (34),1,1,1,C00020,6 (6),0.0475,0.336,0.192,0.372
DNA strand elongation,Reactome,0,,32 (32),1,1,1,C00020,6 (6),0.0475,0.336,0.192,0.372
mRNA decay by 3_ to 5_ exoribonuclease,Reactome,0,,11 (11),1,1,1,C00020,6 (8),0.0475,0.336,0.192,0.372
Axon guidance,Reactome,1,EVL,310 (332),0.443,1,1,C00025,14 (14),0.107,0.512,0.192,0.372
dermatan sulfate degradation (metazoa),HumanCyc,0,,6 (7),1,1,3,C00379;C00116;C01835,102 (138),0.0478,0.338,0.193,0.373
Phospholipid biosynthesis,Wikipathways,0,,0 (0),1,1,1,C00346,8 (8),0.0628,0.379,0.0628,0.379
Butanoate metabolism - Homo sapiens (human),KEGG,0,,26 (26),1,1,2,C00025;C00989,41 (41),0.0425,0.32,0.177,0.358
Type II diabetes mellitus - Homo sapiens (human),KEGG,0,,45 (48),1,1,1,C00031,6 (6),0.0475,0.336,0.192,0.372
Histidine metabolism - Homo sapiens (human),KEGG,0,,23 (23),1,1,2,C00025;C00135,45 (45),0.0503,0.355,0.201,0.386
Translation,Reactome,2,EEF1D;RPL9,205 (217),0.0547,1,0,,28 (29),1,1,0.214,0.387
Rapoport-Luebering glycolytic shunt,HumanCyc,0,,4 (6),1,1,1,C00197,7 (7),0.0551,0.361,0.215,0.387
Conjugation of salicylate with glycine,Reactome,0,,7 (8),1,1,1,C00020,7 (8),0.0551,0.361,0.215,0.387
Energy dependent regulation of mTOR by LKB1-AMPK,Reactome,0,,16 (17),1,1,1,C00020,7 (7),0.0551,0.361,0.215,0.387
Galactose metabolism - Homo sapiens (human),KEGG,0,,30 (30),1,1,2,C00116;C00031,45 (45),0.0503,0.355,0.201,0.386
glycerol degradation,HumanCyc,0,,5 (5),1,1,1,C00116,7 (8),0.0551,0.361,0.215,0.387
Iminoglycinuria,SMPDB,0,,28 (33),1,1,1,C00097,7 (8),0.0551,0.361,0.215,0.387
Lysinuric Protein Intolerance,SMPDB,0,,28 (33),1,1,1,C00097,7 (8),0.0551,0.361,0.215,0.387
cysteine biosynthesis/homocysteine degradation (trans-sulfuration),HumanCyc,0,,2 (3),1,1,1,C00097,7 (7),0.0551,0.361,0.215,0.387
Blue diaper syndrome,SMPDB,0,,28 (33),1,1,1,C00097,7 (8),0.0551,0.361,0.215,0.387
Lysinuric protein intolerance (LPI),SMPDB,0,,28 (33),1,1,1,C00097,7 (8),0.0551,0.361,0.215,0.387
Iminoglycinuria,SMPDB,0,,28 (33),1,1,1,C00097,7 (8),0.0551,0.361,0.215,0.387
Cystinuria,SMPDB,0,,28 (33),1,1,1,C00097,7 (8),0.0551,0.361,0.215,0.387
Torsemide Action Pathway,SMPDB,0,,28 (33),1,1,1,C00097,7 (9),0.0551,0.361,0.215,0.387
Biotin Metabolism,SMPDB,0,,3 (3),1,1,1,C00047,7 (7),0.0551,0.361,0.215,0.387
carnosine biosynthesis,HumanCyc,0,,1 (1),1,1,1,C00135,7 (7),0.0551,0.361,0.215,0.387
Hartnup Disorder,SMPDB,0,,28 (33),1,1,1,C00097,7 (8),0.0551,0.361,0.215,0.387
Renal Glucosuria,SMPDB,0,,28 (33),1,1,1,C00097,7 (8),0.0551,0.361,0.215,0.387
Base-Excision Repair_ AP Site Formation,Reactome,0,,9 (10),1,1,1,C00106,7 (14),0.0551,0.361,0.215,0.387
Kidney Function,SMPDB,0,,28 (33),1,1,1,C00097,7 (8),0.0551,0.361,0.215,0.387
Multiple carboxylase deficiency_ neonatal or early onset form,SMPDB,0,,3 (3),1,1,1,C00047,7 (7),0.0551,0.361,0.215,0.387
glutamine biosynthesis,HumanCyc,0,,1 (1),1,1,1,C00025,7 (7),0.0551,0.361,0.215,0.387
Biotinidase Deficiency,SMPDB,0,,3 (3),1,1,1,C00047,7 (7),0.0551,0.361,0.215,0.387
adenine and adenosine salvage I,HumanCyc,0,,1 (1),1,1,1,C00020,7 (7),0.0551,0.361,0.215,0.387
Propanoate metabolism - Homo sapiens (human),KEGG,1,ACSS2,28 (28),0.0508,1,0,,44 (44),1,1,0.202,0.387
Polycystic Kidney Disease Pathway,Wikipathways,0,,16 (16),1,1,1,C00020,7 (8),0.0551,0.361,0.215,0.387
Arachidonate production from DAG,Reactome,0,,3 (3),1,1,1,C00116,7 (7),0.0551,0.361,0.215,0.387
acetyl-CoA biosynthesis from citrate,HumanCyc,0,,1 (1),1,1,1,C00158,7 (7),0.0551,0.361,0.215,0.387
4-hydroxy-2-nonenal detoxification,HumanCyc,0,,5 (5),1,1,1,C00025,7 (8),0.0551,0.361,0.215,0.387
Triacylglyceride Synthesis,Wikipathways,0,,24 (24),1,1,1,C00116,7 (10),0.0551,0.361,0.215,0.387
glutamate removal from folates,HumanCyc,0,,1 (1),1,1,1,C00025,7 (7),0.0551,0.361,0.215,0.387
AMPK Signaling,Wikipathways,0,,65 (65),1,1,1,C00031,7 (7),0.0551,0.361,0.215,0.387
Effects of Nitric Oxide,Wikipathways,0,,8 (8),1,1,1,C00327,7 (7),0.0551,0.361,0.215,0.387
Polyol Pathway,Wikipathways,0,,4 (4),1,1,1,C00031,7 (7),0.0551,0.361,0.215,0.387
CREB phosphorylation through the activation of Ras,Reactome,0,,28 (32),1,1,1,C00025,7 (7),0.0551,0.361,0.215,0.387
Glucose Transporter Defect (SGLT2),SMPDB,0,,28 (33),1,1,1,C00097,7 (8),0.0551,0.361,0.215,0.387
Signaling by Robo receptor,Reactome,1,EVL,31 (32),0.0561,1,0,,6 (6),1,1,0.218,0.391
Galactose metabolism,EHMN,0,,44 (45),1,1,2,C00031;C00116,48 (48),0.0565,0.368,0.219,0.392
Prostaglandin formation from arachidonate,EHMN,0,,34 (34),1,1,2,C00020;C00116,48 (48),0.0565,0.368,0.219,0.392
GPCR ligand binding,Reactome,0,,412 (454),1,1,3,C00077;C00025;C00047,110 (129),0.0575,0.374,0.222,0.395
Defective ACTH causes Obesity and Pro-opiomelanocortinin deficiency (POMCD),Reactome,0,,412 (454),1,1,3,C00077;C00025;C00047,110 (129),0.0575,0.374,0.222,0.395
Long-term potentiation - Homo sapiens (human),KEGG,0,,65 (67),1,1,1,C00025,7 (7),0.0551,0.361,0.215,0.387
Nicotine addiction - Homo sapiens (human),KEGG,0,,35 (40),1,1,1,C00025,7 (7),0.0551,0.361,0.215,0.387
pyrimidine ribonucleosides degradation,HumanCyc,0,,3 (3),1,1,1,C00106,8 (8),0.0628,0.379,0.237,0.395
Glutamate Binding_ Activation of AMPA Receptors and Synaptic Plasticity,Reactome,0,,28 (31),1,1,1,C00025,8 (8),0.0628,0.379,0.237,0.395
malate-aspartate shuttle,HumanCyc,0,,5 (5),1,1,1,C00025,8 (8),0.0628,0.379,0.237,0.395
Hydroflumethiazide Action Pathway,SMPDB,0,,28 (33),1,1,1,C00097,8 (9),0.0628,0.379,0.237,0.395
Conjugation of phenylacetate with glutamine,Reactome,0,,2 (2),1,1,1,C00020,8 (8),0.0628,0.379,0.237,0.395
EPHB-mediated forward signaling,Reactome,0,,42 (47),1,1,1,C00025,8 (8),0.0628,0.379,0.237,0.395
mTOR signalling,Reactome,0,,26 (28),1,1,1,C00020,8 (8),0.0628,0.379,0.237,0.395
EPH-Ephrin signaling,Reactome,0,,77 (83),1,1,1,C00025,8 (8),0.0628,0.379,0.237,0.395
Polythiazide Action Pathway,SMPDB,0,,28 (33),1,1,1,C00097,8 (9),0.0628,0.379,0.237,0.395
Methyclothiazide Action Pathway,SMPDB,0,,28 (33),1,1,1,C00097,8 (9),0.0628,0.379,0.237,0.395
Bumetanide Action Pathway,SMPDB,0,,28 (33),1,1,1,C00097,8 (9),0.0628,0.379,0.237,0.395
Eplerenone Action Pathway,SMPDB,0,,28 (33),1,1,1,C00097,8 (9),0.0628,0.379,0.237,0.395
Triamterene Action Pathway,SMPDB,0,,28 (33),1,1,1,C00097,8 (9),0.0628,0.379,0.237,0.395
Amiloride Action Pathway,SMPDB,0,,28 (33),1,1,1,C00097,8 (9),0.0628,0.379,0.237,0.395
Ethacrynic Acid Action Pathway,SMPDB,0,,28 (33),1,1,1,C00097,8 (9),0.0628,0.379,0.237,0.395
Quinethazone Action Pathway,SMPDB,0,,28 (33),1,1,1,C00097,8 (9),0.0628,0.379,0.237,0.395
Chlorthalidone Action Pathway,SMPDB,0,,28 (33),1,1,1,C00097,8 (9),0.0628,0.379,0.237,0.395
Trichlormethiazide Action Pathway,SMPDB,0,,28 (33),1,1,1,C00097,8 (9),0.0628,0.379,0.237,0.395
Furosemide Action Pathway,SMPDB,0,,28 (33),1,1,1,C00097,8 (9),0.0628,0.379,0.237,0.395
Homocysteine Degradation,SMPDB,0,,2 (3),1,1,1,C00097,8 (8),0.0628,0.379,0.237,0.395
Gamma-cystathionase deficiency (CTH),SMPDB,0,,2 (3),1,1,1,C00097,8 (8),0.0628,0.379,0.237,0.395
Homocystinuria_ cystathionine beta-synthase deficiency,SMPDB,0,,2 (3),1,1,1,C00097,8 (8),0.0628,0.379,0.237,0.395
Hydrochlorothiazide Action Pathway,SMPDB,0,,28 (33),1,1,1,C00097,8 (9),0.0628,0.379,0.237,0.395
Cyclothiazide Action Pathway,SMPDB,0,,28 (33),1,1,1,C00097,8 (9),0.0628,0.379,0.237,0.395
Chlorothiazide Action Pathway,SMPDB,0,,28 (33),1,1,1,C00097,8 (9),0.0628,0.379,0.237,0.395
Ribosome - Homo sapiens (human),KEGG,1,RPL9,134 (135),0.222,1,0,,0 (0),1,1,0.222,1
SHP2 signaling,PID,0,,57 (61),1,1,1,C00327,8 (8),0.0628,0.379,0.237,0.395
Passive transport by Aquaporins,Reactome,0,,12 (15),1,1,1,C00116,8 (8),0.0628,0.379,0.237,0.395
creatine biosynthesis,HumanCyc,0,,2 (2),1,1,1,C00077,8 (8),0.0628,0.379,0.237,0.395
Endohydrolysis of 1_4-alpha-D-glucosidic linkages in polysaccharides by alpha-amylase,EHMN,0,,6 (6),1,1,1,C01835,8 (8),0.0628,0.379,0.237,0.395
Indapamide Action Pathway,SMPDB,0,,28 (33),1,1,1,C00097,8 (9),0.0628,0.379,0.237,0.395
Signaling events mediated by VEGFR1 and VEGFR2,PID,0,,68 (75),1,1,1,C00327,8 (8),0.0628,0.379,0.237,0.395
Organic anion transport,Reactome,0,,5 (5),1,1,1,C00366,8 (8),0.0628,0.379,0.237,0.395
Bendroflumethiazide Action Pathway,SMPDB,0,,28 (33),1,1,1,C00097,8 (9),0.0628,0.379,0.237,0.395
corticosteroids and cardioprotection,BioCarta,0,,26 (28),1,1,1,C00327,8 (8),0.0628,0.379,0.237,0.395
Metolazone Action Pathway,SMPDB,0,,28 (33),1,1,1,C00097,8 (9),0.0628,0.379,0.237,0.395
Spironolactone Action Pathway,SMPDB,0,,28 (33),1,1,1,C00097,8 (9),0.0628,0.379,0.237,0.395
Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,Reactome,0,,24 (24),1,1,2,C00020;C00245,51 (51),0.0629,0.379,0.237,0.395
Folate Metabolism,Wikipathways,0,,65 (66),1,1,2,C00031;C00097,51 (65),0.0629,0.379,0.237,0.395
Fatty acid biosynthesis - Homo sapiens (human),KEGG,0,,13 (13),1,1,2,C01571;C06423,50 (50),0.0608,0.379,0.231,0.395
Base Excision Repair,Wikipathways,0,,0 (0),1,1,1,C00106,9 (13),0.0703,0.401,0.0703,0.401
Generation of second messenger molecules,Reactome,1,EVL,37 (43),0.0666,1,0,,6 (6),1,1,0.247,0.407
Arachidonic acid metabolism,EHMN,0,,96 (101),1,1,2,C00020;C00116,53 (53),0.0673,0.401,0.249,0.407
selenocysteine biosynthesis,HumanCyc,0,,6 (6),1,1,1,C00020,9 (10),0.0703,0.401,0.257,0.407
Glycine_ serine and threonine metabolism - Homo sapiens (human),KEGG,0,,39 (40),1,1,2,C00197;C00097,50 (50),0.0608,0.379,0.231,0.395
Acyl chain remodeling of DAG and TAG,Reactome,0,,5 (5),1,1,1,C00116,9 (9),0.0703,0.401,0.257,0.407
Degradation of GABA,Reactome,0,,2 (2),1,1,1,C00025,9 (9),0.0703,0.401,0.257,0.407
UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II,HumanCyc,0,,4 (5),1,1,1,C00025,9 (11),0.0703,0.401,0.257,0.407
&gamma;-linolenate biosynthesis,HumanCyc,0,,14 (15),1,1,1,C00020,9 (9),0.0703,0.401,0.257,0.407
PKB-mediated events,Reactome,0,,27 (29),1,1,1,C00020,9 (9),0.0703,0.401,0.257,0.407
7-(3-amino-3-carboxypropyl)-wyosine biosynthesis,HumanCyc,0,,2 (2),1,1,1,C00170,9 (9),0.0703,0.401,0.257,0.407
Lactose Degradation,SMPDB,0,,11 (11),1,1,1,C00031,9 (9),0.0703,0.401,0.257,0.407
Lactose Intolerance,SMPDB,0,,11 (11),1,1,1,C00031,9 (9),0.0703,0.401,0.257,0.407
Thiamine Metabolism,SMPDB,0,,3 (4),1,1,1,C00020,9 (9),0.0703,0.401,0.257,0.407
4-aminobutyrate degradation,HumanCyc,0,,2 (2),1,1,1,C00025,9 (9),0.0703,0.401,0.257,0.407
glutamate biosynthesis/degradation,HumanCyc,0,,3 (3),1,1,1,C00025,9 (9),0.0703,0.401,0.257,0.407
Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha),Reactome,0,,15 (15),1,1,1,C00020,9 (9),0.0703,0.401,0.257,0.407
Processive synthesis on the C-strand of the telomere,Reactome,0,,12 (12),1,1,1,C00020,9 (9),0.0703,0.401,0.257,0.407
Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta),Reactome,0,,15 (15),1,1,1,C00020,9 (9),0.0703,0.401,0.257,0.407
Mismatch Repair,Reactome,0,,16 (16),1,1,1,C00020,9 (9),0.0703,0.401,0.257,0.407
Cysteine formation from homocysteine,Reactome,0,,2 (3),1,1,1,C00097,9 (9),0.0703,0.401,0.257,0.407
wybutosine biosynthesis,HumanCyc,0,,3 (3),1,1,1,C00170,9 (9),0.0703,0.401,0.257,0.407
Phenylacetate Metabolism,SMPDB,0,,3 (3),1,1,1,C00020,9 (9),0.0703,0.401,0.257,0.407
L-dopa degradation,HumanCyc,0,,1 (1),1,1,1,C00025,9 (12),0.0703,0.401,0.257,0.407
Plasma membrane estrogen receptor signaling,PID,0,,39 (42),1,1,1,C00327,9 (9),0.0703,0.401,0.257,0.407
tRNA splicing,HumanCyc,0,,5 (5),1,1,1,C00020,9 (11),0.0703,0.401,0.257,0.407
Vitamin B1 (thiamin) metabolism,Reactome,0,,3 (4),1,1,1,C00020,9 (9),0.0703,0.401,0.257,0.407
pyrimidine deoxyribonucleosides degradation,HumanCyc,0,,4 (4),1,1,1,C00106,9 (10),0.0703,0.401,0.257,0.407
Post NMDA receptor activation events,Reactome,0,,36 (40),1,1,1,C00025,9 (9),0.0703,0.401,0.257,0.407
phosphatidylethanolamine biosynthesis II,HumanCyc,0,,7 (7),1,1,1,C00346,9 (12),0.0703,0.401,0.257,0.407
Calmodulin induced events,Reactome,0,,26 (28),1,1,1,C00020,9 (9),0.0703,0.401,0.257,0.407
CaM pathway,Reactome,0,,26 (28),1,1,1,C00020,9 (9),0.0703,0.401,0.257,0.407
Sphingolipid metabolism,Wikipathways,0,,0 (0),1,1,2,C00836;C00346,55 (58),0.0719,0.408,0.0719,0.408
Developmental Biology,Reactome,1,EVL,426 (451),0.554,1,1,C00025,17 (18),0.129,0.59,0.26,0.411
Cocaine addiction - Homo sapiens (human),KEGG,0,,48 (50),1,1,1,C00025,8 (8),0.0628,0.379,0.237,0.395
Tyrosine metabolism - Homo sapiens (human),KEGG,1,ADH5,35 (35),0.0631,1,0,,77 (77),1,1,0.237,0.395
Bile acid biosynthesis,EHMN,0,,52 (54),1,1,2,C00020;C00245,55 (55),0.0719,0.408,0.261,0.411
Glycerophospholipid biosynthesis,Wikipathways,0,,0 (0),1,1,2,C00116;C00346,56 (64),0.0741,0.42,0.0741,0.42
Sphingolipid metabolism,Reactome,0,,70 (72),1,1,2,C00836;C00346,56 (58),0.0741,0.42,0.267,0.42
Transport of fatty acids,Reactome,0,,8 (8),1,1,1,C01571,10 (10),0.0779,0.426,0.277,0.424
Base Excision Repair,Reactome,0,,20 (22),1,1,1,C00106,10 (17),0.0779,0.426,0.277,0.424
Glycogen breakdown (glycogenolysis),Reactome,0,,16 (18),1,1,1,C00020,10 (10),0.0779,0.426,0.277,0.424
Long-term depression - Homo sapiens (human),KEGG,0,,59 (60),1,1,1,C00025,9 (9),0.0703,0.401,0.257,0.407
Malate-Aspartate Shuttle,SMPDB,0,,4 (4),1,1,1,C00025,10 (10),0.0779,0.426,0.277,0.424
Pyruvate metabolism - Homo sapiens (human),KEGG,1,ACSS2,40 (40),0.0718,1,0,,31 (31),1,1,0.261,0.411
Putative anti-Inflammatory metabolites formation from EPA,EHMN,0,,41 (42),1,1,1,C00025,10 (10),0.0779,0.426,0.277,0.424
asparagine degradation,HumanCyc,0,,5 (5),1,1,1,C00025,10 (10),0.0779,0.426,0.277,0.424
Interconversion of 2-oxoglutarate and 2-hydroxyglutarate,Reactome,0,,3 (3),1,1,1,C00989,10 (10),0.0779,0.426,0.277,0.424
Pentose and glucuronate interconversions - Homo sapiens (human),KEGG,0,,36 (36),1,1,2,C00379;C00116,55 (55),0.0719,0.408,0.261,0.411
mTOR signaling pathway - Homo sapiens (human),KEGG,0,,59 (60),1,1,1,C00020,10 (10),0.0779,0.426,0.277,0.424
Differentiation Pathway,Wikipathways,0,,44 (44),1,1,1,C00245,10 (13),0.0779,0.426,0.277,0.424
Factors involved in megakaryocyte development and platelet production,Reactome,0,,115 (115),1,1,1,C00020,10 (11),0.0779,0.426,0.277,0.424
Amyotrophic lateral sclerosis (ALS),Wikipathways,0,,33 (35),1,1,1,C00025,10 (10),0.0779,0.426,0.277,0.424
Angiopoietin receptor Tie2-mediated signaling,PID,0,,48 (52),1,1,1,C00327,10 (10),0.0779,0.426,0.277,0.424
uracil degradation,HumanCyc,0,,3 (3),1,1,1,C00106,10 (10),0.0779,0.426,0.277,0.424
Amyotrophic lateral sclerosis (ALS) - Homo sapiens (human),KEGG,0,,47 (51),1,1,1,C00025,10 (10),0.0779,0.426,0.277,0.424
Vitamin B2 (riboflavin) metabolism,Reactome,0,,5 (5),1,1,1,C00020,10 (10),0.0779,0.426,0.277,0.424
HIF1A and PPARG regulation of glycolysis,Wikipathways,0,,0 (0),1,1,1,C00031,10 (10),0.0779,0.426,0.0779,0.426
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),Wikipathways,0,,0 (0),1,1,1,C00020,10 (10),0.0779,0.426,0.0779,0.426
Synthesis of DNA,Wikipathways,0,,0 (0),1,1,1,C00020,10 (10),0.0779,0.426,0.0779,0.426
Factors involved in megakaryocyte development and platelet production,Wikipathways,0,,0 (0),1,1,1,C00020,10 (11),0.0779,0.426,0.0779,0.426
Alcoholism - Homo sapiens (human),KEGG,0,,175 (180),1,1,1,C00025,10 (10),0.0779,0.426,0.277,0.424
